current_url,topic,overlap_url,unique_value,original_evidence,decision,target_url,redirect_required,reason
https://www.workofarttattoo.com/healing_database_black_grey_day_1_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_day_2_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_day_3_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_day_4_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_month_1_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_month_3_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_month_6_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_tattoos_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_week_1_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_week_2_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_week_3_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_black_grey_year_1_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_day_1_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_day_2_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_day_3_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_day_4_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_month_1_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_month_3_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_month_6_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_tattoos_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_week_1_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_week_2_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_week_3_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,false,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_color_year_1_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
https://www.workofarttattoo.com/healing_database_cover_ups_day_1_las_vegas/,tattoo healing timeline variation,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,low unless page has documented studio case evidence,true,MERGE,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,yes-after-map,Thin healing-stage/style variants should not remain indexable without firsthand documentation.
