old_url,new_url,reason,existing_internal_links,redirect,canonical_change,sitemap_change
https://www.workofarttattoo.com/healing_database_black_grey_day_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_black_grey_month_1_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_black_grey_month_3_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_black_grey_month_6_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_black_grey_tattoos_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_black_grey_week_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_black_grey_week_3_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_color_day_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_color_month_1_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_color_month_3_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_color_month_6_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_color_tattoos_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_color_week_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_color_week_3_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_cover_ups_day_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_cover_ups_month_1_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_cover_ups_month_3_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_cover_ups_month_6_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_cover_ups_tattoos_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_cover_ups_week_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_cover_ups_week_3_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_fine_line_day_2_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_fine_line_month_1_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_fine_line_month_3_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
https://www.workofarttattoo.com/healing_database_fine_line_month_6_las_vegas/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,Consolidate thin healing variants after content merge,0,301 required before removing old page,pending,pending
