url_path,slug_length,issues,has_canonical,recommended_short_slug,alias_live,priority
/,0,ok,yes,(homepage),planned,P2
/aging_skin_skin_science_las_vegas_authority_guide/,49,underscores;long_slug;keyword_stuffed;boilerplate_suffix,yes,aging-skin-skin-science,planned,P1
/anti_eyebrow_piercing_las_vegas_authority_guide/,47,underscores;long_slug;keyword_stuffed;boilerplate_suffix,yes,anti-eyebrow-piercing,planned,P1
/anti_tragus_piercing_las_vegas_authority_guide/,46,underscores;long_slug;keyword_stuffed;boilerplate_suffix,yes,anti-tragus-piercing,planned,P1
/appointments/,12,ok,yes,appointments,planned,P2
/artists/,7,ok,yes,artists,planned,P2
/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,56,underscores;long_slug;keyword_stuffed;boilerplate_suffix,yes,best-fine-line-tattoos-in-vegas,planned,P1
/best_piercing_shop_las_vegas_updated_jewelry_standards/,54,underscores;long_slug;keyword_stuffed,yes,best-piercing-shop-updated-jewelry-standards,planned,P1
/best_tattoo_styles_for_sleeves_large_scale_project_hub/,54,underscores;long_slug;keyword_stuffed,yes,best-tattoo-styles-for-sleeves-large-scale-project,planned,P1
/body_piercing_guide_las_vegas/,29,underscores;keyword_stuffed,yes,body-piercing-guide,planned,P1
/bridge_piercing_las_vegas_authority_guide/,41,underscores;keyword_stuffed;boilerplate_suffix,yes,bridge-piercing,planned,P1
/cartilage_piercing_las_vegas_authority_guide/,44,underscores;keyword_stuffed;boilerplate_suffix,yes,cartilage-piercing,planned,P1
/collagen_skin_science_las_vegas_authority_guide/,47,underscores;long_slug;keyword_stuffed;boilerplate_suffix,yes,collagen-skin-science,planned,P1
/conch_piercing_las_vegas_authority_guide/,40,underscores;keyword_stuffed;boilerplate_suffix,yes,conch-piercing,planned,P1
/cover-up-tattoos-las-vegas/,26,ok,yes,cover-up-tattoos-las-vegas,planned,P2
/daith_piercing_las_vegas_authority_guide/,40,underscores;keyword_stuffed;boilerplate_suffix,yes,daith-piercing,planned,P1
/dermis_skin_science_las_vegas_authority_guide/,45,underscores;keyword_stuffed;boilerplate_suffix,yes,dermis-skin-science,planned,P1
/diabetes_skin_science_las_vegas_authority_guide/,47,underscores;long_slug;keyword_stuffed;boilerplate_suffix,yes,diabetes-skin-science,planned,P1
/ear_curation_piercing_las_vegas_authority_guide/,47,underscores;long_slug;keyword_stuffed;boilerplate_suffix,yes,ear-curation-piercing,planned,P1
/ear_lobe_piercing_las_vegas_authority_guide/,43,underscores;keyword_stuffed;boilerplate_suffix,yes,ear-lobe-piercing,planned,P1
